ลำดับ,ชื่อเล่น,ชื่อ-นามสกุล,ชั้นเรียน,วิชา,อาการ,วิธีรับมือ
1,เจเจ,ธีรเดช มีทรัพย์,ป.1/1,"ภาษาไทย, คณิตศาสตร์",อ่านสะกดคำไม่คล่อง และสับสนเครื่องหมายบวก/ลบ,ฝึกอ่านแจกลูกคำวันละ 10 นาที และใช้สื่อของเล่นตัวเลขช่วยสอน
2,เจเจ,ธาวิน ใจดี,ป.1/1,คณิตศาสตร์,สับสนการนับเพิ่ม/ลด,ใช้ฝาขวดน้ำช่วยนับจำนวนจริง
3,เจเจ,กฤษฎา มาดี,ป.2/1,"ภาษาอังกฤษ, ภาษาไทย, ศิลปะ",จำศัพท์ไม่ได้ เขียนหัวพยัญชนะบอด และระบายสีออกนอกเส้น,เน้นการฟังเพลงภาษาอังกฤษ ฝึกคัดลายมือตามรอยประ และฝึกกล้ามเนื้อมือ
4,ต้นกล้า,พงศกร รักษ์ดี,ป.1/2,วิทยาศาสตร์,จับใจความการทดลองไม่ได้,ให้ดูวิดีโอการทดลองแทนการอ่าน
5,บีม,พงศกร ใจซื่อ,ป.1/2,"ภาษาไทย, สังคมศึกษา ศาสนาและวัฒนธรรม",เขียนสลับตำแหน่ง และจำวันสำคัญทางศาสนาไม่ได้,ใช้บัตรคำสีช่วยจำตำแหน่ง และเล่านิทานเกี่ยวกับวันสำคัญ
6,นิว,พงศกร แซ่ตั้ง,ป.2/1,"คณิตศาสตร์, วิทยาศาสตร์",คำนวณเงินทอนผิด จำแนกสัตว์ไม่ได้,เล่นบทบาทสมมติซื้อขายของ และพาไปดูของจริงในสวน
7,กาย,พงศกร คงกระพัน,ป.3/2,ภาษาอังกฤษ,เขียนตามคำบอกไม่ได้เลย,อนุญาตให้สอบปากเปล่าแทนการเขียน
8,ออย,มานะ เรียนเก่ง,ป.1/1,"ภาษาไทย, การงานอาชีพและเทคโนโลยี",อ่านข้ามคำ และผูกเงื่อนเชือกไม่ได้,ใช้นิ้วชี้ตามตัวอักษรขณะอ่าน และฝึกผูกเชือกรองเท้ากับหุ่นจำลอง
9,แป้ง,วีระ เรียนเก่ง,ป.2/1,คณิตศาสตร์,ตีโจทย์ปัญหาไม่ได้,วาดรูปประกอบโจทย์ปัญหาให้เห็นภาพ
10,ฝน,สุดา เรียนเก่ง,ป.3/1,"วิทยาศาสตร์, คณิตศาสตร์",จำวงจรชีวิตสัตว์สลับกัน และหารยาวไม่ได้,ใช้แผนภาพวงจรชีวิตแบบหมุนได้ และฝึกสูตรคูณแม่ 2-5 ให้แม่นยำ
11,มิว,นรากร สอนดี,ป.1/1,ภาษาไทย,เขียนตัวหนังสือหัวกลับ (Mirror Writing),ฝึกเขียนบนกระบะทรายหรือแป้งปั้น
12,พี,อภิชาต พลอย,ป.1/2,"ภาษาอังกฤษ, ศิลปะ",ออกเสียงตัวอักษรเพี้ยน และวาดรูปทรงเรขาคณิตเบี้ยว,ฝึกออกเสียงหน้ากระจก และใช้แม่พิมพ์วาดรูปช่วย
13,ฟ้า,รัตนา มณีวงศ์,ป.2/2,"คณิตศาสตร์, สุขศึกษาและพลศึกษา",ท่องสูตรคูณไม่ได้ และแยกซ้ายขวาไม่ถูก,เปิดเพลงสูตรคูณช่วยจำ และผูกเชือกสีที่ข้อมือขวา
14,อาร์ม,ธนพล วงศ์สา,ป.3/1,ภาษาไทย,ผันวรรณยุกต์ไม่ได้ (ปา ป่า ป้า),ใช้นิ้วมือ 5 นิ้วแทนเสียงวรรณยุกต์
15,เต้ย,จิรายุ เจริญสุข,ป.4/2,"วิทยาศาสตร์, การงานอาชีพและเทคโนโลยี",บันทึกผลการทดลองไม่เป็นลำดับ และใช้อุปกรณ์ช่างไม่ถูกวิธี,ใช้แบบฟอร์มบันทึกที่มีรูปภาพ และสาธิตวิธีใช้อุปกรณ์ช้าๆ
16,พลอย,ณัฐวุฒิ มั่นคง,ป.5/1,"ภาษาอังกฤษ, ภาษาไทย",เรียงประโยคผิดทั้งไทยและอังกฤษ,ใช้บัตรคำเรียงประโยค (Word Card)
